Rank,University,Location
269,"California State Polytechnic University, Humboldt",Arcata
270,Oakland University,Rochester Hills
271,Rowan University,Glassboro ...
272,University of Missouri-St. Louis,St. Louis
273,Towson University,Towson
274,Sonoma State University,Rohnert Park
275,"University of California College of the Law, San Francisco",San Francisco
276,The University of Texas Health Science Center at Houston,Houston
277,University of North Carolina Wilmington,Wilmington
278,University of Nebraska Medical Center,Omaha
279,"California State University, Fresno",Fresno
280,Suffolk University,Boston ...
281,Marshall University,Huntington
282,The Rockefeller University,New York City
283,"University of California, Merced",Merced ...
284,Colorado School of Mines,Golden
285,Wichita State University,Wichita
286,Hillsdale College,Hillsdale
287,Georgia Southern University,Statesboro ...
288,Bowdoin College,Brunswick
289,The University of Texas Medical Branch at Galveston,Galveston
290,Ferris State University,Big Rapids
291,Seattle University,Seattle
292,East Tennessee State University,Johnson City ...
293,Dickinson College,Carlisle
294,South Dakota State University,Brookings
295,Washington and Lee University,Lexington
296,University of Texas Rio Grande Valley,Edinburg ...
297,Maryville University,St. Louis
298,Sam Houston State University,Huntsville
299,Lamar University,Beaumont
300,Fashion Institute of Technology,New York City
301,Reed College,Portland
302,Duquesne University,Pittsburgh
303,Medical College of Wisconsin,Milwaukee
304,University of Massachusetts Dartmouth,North Dartmouth
305,Indiana State University,Terre Haute
306,National University,La Jolla
307,The University of Alabama in Huntsville,Huntsville
308,University of Wisconsin-Stevens Point,Stevens Point
309,Florida Institute of Technology,Melbourne
310,"California State University, Los Angeles",Los Angeles
311,Ithaca College,Ithaca
312,University of St. Thomas,Saint Paul ...
313,Harvey Mudd College,Claremont ...
314,Missouri University of Science and Technology,Rolla
315,Elon University,Elon
316,Davidson College,Davidson
317,St. John's University,Queens ...
318,Eastern Kentucky University,Richmond
319,Kenyon College,Gambier
320,Eastern Michigan University,Ypsilanti ...
321,United States Naval Academy,Annapolis
322,Brigham Young University-Idaho,Rexburg
323,Pomona College,Claremont
324,"Minnesota State University, Mankato",Mankato ...
325,Lewis & Clark College,Portland
326,Babson College,Babson Park
327,New Mexico Institute of Mining and Technology,Socorro
328,Southern Illinois University Edwardsville,Edwardsville ...
329,Earlham College,Richmond
330,Rasmussen University,St. Cloud ...
331,Biola University,La Mirada
332,University of South Dakota,Vermillion
333,Furman University,Greenville
334,Simmons University,Boston
335,Webster University,St. Louis
336,Weber State University,Ogden ...
337,Augusta University,Augusta
338,University of Wisconsin-Eau Claire,Eau Claire
339,Gallaudet University,Washington
340,Stevens Institute of Technology,Hoboken
341,University of the Pacific,Stockton ...
342,Barnard College,New York City
343,Gettysburg College,Gettysburg
344,University of Colorado Colorado Springs,Colorado Springs
345,Hanover College,Hanover
346,State University of New York at Oswego,Oswego
347,University of Baltimore,Baltimore
348,Hamilton College,Clinton
349,Trinity College,Hartford
350,The Culinary Institute of America,Hyde Park ...
351,Radford University,Radford ...
352,Stetson University,DeLand ...
353,Colgate University,Hamilton
354,St. Olaf College,Northfield
355,The Evergreen State College,Olympia
356,Willamette University,Salem
357,Wheaton College,Wheaton
358,Loma Linda University,Loma Linda
359,College of Saint Benedict/Saint John's University,St. Joseph ...
360,Savannah College of Art and Design,Savannah ...
361,University of Arkansas at Little Rock,Little Rock
362,Saint Joseph's University,Philadelphia ...
363,The University of Tulsa,Tulsa
364,Grinnell College,Grinnell
365,California State University San Marcos,San Marcos ...
366,Northern Michigan University,Marquette
367,University of Northern Colorado,Greeley
368,SUNY Geneseo,Geneseo
369,Bates College,Lewiston
370,University of Evansville,Evansville
371,Gonzaga University,Spokane
372,Stephen F. Austin State University,Nacogdoches
373,Miami Dade College,Miami
374,Union College,Schenectady
375,Bradley University,Peoria
376,"California State University, Stanislaus",Turlock ...
377,Florida Gulf Coast University,Fort Myers
378,Rhode Island School of Design,Providence
379,Haverford College,Haverford
380,Arkansas State University,Jonesboro
381,"California State University, Dominguez Hills",Carson ...
382,Eastern Illinois University,Charleston
383,University of Louisiana at Lafayette,Lafayette
384,Trinity University,San Antonio
385,University of Wisconsin-Green Bay,Green Bay
386,Fairleigh Dickinson University,Teaneck ...
387,Central Washington University,Ellensburg ...
388,DeVry University,Naperville ...
389,Indiana University of Pennsylvania,Indiana
390,College of the Holy Cross,Worcester
391,Bentley University,Waltham
392,Colorado College,Colorado Springs ...
393,West Chester University of Pennsylvania,West Chester
394,Emerson College,Boston
395,Naval Postgraduate School,Monterey
396,University of Wisconsin-La Crosse,La Crosse
397,Skidmore College,Saratoga Springs
398,The University of Tennessee at Chattanooga,Chattanooga
399,University of West Florida,Pensacola ...
400,Northern Kentucky University,Highland Heights ...
401,Long Island University,Brookville ...
402,Clarkson University,Potsdam ...
403,North Carolina Agricultural and Technical State University,Greensboro
404,Pratt Institute,Brooklyn
405,Bridgewater State University,Bridgewater
406,Macalester College,Saint Paul
407,Butler University,Indianapolis
408,Shippensburg University of Pennsylvania,Shippensburg
409,Western Carolina University,Cullowhee ...
410,Texas Tech University Health Sciences Center,Lubbock ...
411,The College of New Jersey,Ewing
412,Central Connecticut State University,New Britain
413,University of New Orleans,New Orleans
414,St. Cloud State University,St. Cloud
415,University of Mississippi Medical Center,Jackson
416,Connecticut College,New London
417,Valencia College,Orlando
418,Valparaiso University,Valparaíso
419,Utah Valley University,Orem ...
420,Rider University,Lawrenceville ...
421,Loyola University Maryland,Baltimore
422,University of South Alabama,Mobile
423,West Texas A&M University,Canyon ...
424,Western Illinois University,Macomb ...
425,Xavier University,Cincinnati
426,Occidental College,Los Angeles
427,Columbia College Chicago,Chicago
428,Drake University,Des Moines
429,Sweet Briar College,Sweet Briar
430,University of Wisconsin-Whitewater,Whitewater
431,SUNY College of Environmental Science and Forestry,Syracuse
432,Tennessee Tech University,Cookeville
433,DePauw University,Greencastle
434,Louisiana Tech University,Ruston
435,National Defense University,Fort Lesley J McNair
436,University of Central Arkansas,Conway
437,Florida Agricultural and Mechanical University,Tallahassee
438,Siena College,Loudonville
439,School of Visual Arts,New York City
440,Touro University,New York City ...
441,Uniformed Services University of the Health Sciences,Bethesda
442,The Juilliard School,New York City
443,Azusa Pacific University,Azusa
444,University of West Georgia,Carrollton
445,University of Hawaii at Manoa,Honolulu
446,Upstate Medical University,Syracuse
447,University of Arkansas for Medical Sciences,Little Rock
448,Mercer University,Macon ...
449,Whitman College,Walla Walla
450,University of North Georgia,Dahlonega
451,Texas Woman's University,Denton ...
452,Adelphi University,Garden City
453,Loyola University New Orleans,New Orleans
454,State University of New York at New Paltz,New Paltz
455,Hampshire College,Amherst
456,University of Wisconsin-Oshkosh,Oshkosh
457,Pacific University,Forest Grove
458,Franklin and Marshall College,Lancaster
459,Rose-Hulman Institute of Technology,Terre Haute
460,Hobart and William Smith Colleges,Geneva
461,Andrews University,Berrien Springs
462,Rollins College,Winter Park
463,Eastern Washington University,Cheney
464,Belmont University,Nashville
465,Pitzer College,Claremont
466,New York Institute of Technology,Old Westbury ...
467,Hope College,Holland
468,Drew University,Madison
