Rank,University,Location
656,Minnesota State University Moorhead,Moorhead
657,Washburn University,Topeka
658,Delaware State University,Dover
659,Fort Lewis College,Durango
660,Southwestern University,Georgetown
661,Slippery Rock University of Pennsylvania,Slippery Rock
662,Canisius University,Buffalo
663,Dakota State University,Madison ...
664,Western Connecticut State University,Danbury
665,Jacksonville State University,Jacksonville
666,Saginaw Valley State University,University Center
667,University of Wisconsin-Parkside,Kenosha
668,Bloomsburg University of Pennsylvania,Bloomsburg
669,Albion College,Albion
670,Kalamazoo College,Kalamazoo
671,Xavier University of Louisiana,New Orleans
672,Indiana University South Bend,South Bend ...
673,California Institute of Integral Studies,San Francisco
674,Augustana College,Rock Island
675,Seton Hill University,Greensburg
676,Mercy University,Dobbs Ferry
677,Bethel University,Saint Paul ...
678,Goshen College,Goshen
679,University of Louisiana at Monroe,Monroe
680,Bennington College,Bennington
681,Washington College,Chestertown
682,Roanoke College,Salem
683,Hawaii Pacific University,Honolulu
684,California Lutheran University,Thousand Oaks
685,State University of New York College at Plattsburgh,Plattsburgh ...
686,Keiser University,Fort Lauderdale
687,Western University of Health Sciences,Pomona ...
688,Harding University,Searcy ...
689,Colorado Christian University,Lakewood
690,Gordon College,Wenham ...
691,State University of New York at Fredonia,Fredonia
692,Wofford College,Spartanburg
693,Merrimack College,North Andover
694,Utah Tech University,St. George
695,"Lehman College, CUNY",The Bronx
696,Regis College,Weston
697,The University of the Arts,Philadelphia
698,Oral Roberts University,Tulsa
699,Florida State College at Jacksonville,Jacksonville
700,Purdue University Northwest,Hammond
701,The College of St. Scholastica,Duluth ...
702,Cornell College,Mount Vernon
703,Winona State University,Winona
704,South University,Savannah
705,University of North Texas Health Science Center,Fort Worth
706,St. Norbert College,De Pere
707,University of Central Missouri,Warrensburg
708,Pennsylvania College of Technology,Williamsport
709,Benedictine University,Lisle
710,St. Mary's College of Maryland,St. Mary's City
711,Benedictine College,Atchison
712,North Park University,Chicago
713,Centre College,Danville
714,SUNY Polytechnic Institute,Utica
715,"Purchase College, State University of New York",Purchase
716,Albany Medical College,Albany
717,University of Michigan-Flint,Flint ...
718,Bowie State University,Bowie
719,Eastern Virginia Medical School,Norfolk
720,Vermont Law School,South Royalton
721,South Dakota School of Mines and Technology,Rapid City
722,Pennsylvania Academy of the Fine Arts,Philadelphia
723,Auburn University at Montgomery,Montgomery
724,"Concordia University, St. Paul",Saint Paul ...
725,University of Houston-Downtown,Houston
726,Jacksonville University,Jacksonville
727,New Jersey City University,Jersey City
728,Santa Fe College,Gainesville
729,University of Wisconsin-River Falls,River Falls
730,SIT Graduate Institute,Brattleboro
731,Chatham University,Pittsburgh
732,Texas A&M University at Galveston,Galveston
733,Bob Jones University,Greenville
734,Capital University,Columbus
735,Carthage College,Kenosha
736,Indiana University Northwest,Gary
737,College of Southern Nevada,Las Vegas
738,University of Southern Maine,Portland ...
739,Lindsey Wilson College,Columbia
740,University of Bridgeport,Bridgeport ...
741,Texas A&M International University,Laredo
742,University of the District of Columbia,Washington
743,Texas A&M University-Kingsville,Kingsville
744,Antioch University,Yellow Springs ...
745,Virginia State University,Petersburg
746,Fayetteville State University,Fayetteville
747,Luther College,Decorah
748,Norfolk State University,Norfolk
749,Indiana University Southeast,New Albany
750,Oregon Institute of Technology,Klamath Falls
751,Knox College,Galesburg ...
752,Wilkes University,Wilkes-Barre
753,Assumption University,Worcester
754,Hood College,Frederick
755,Berry College,Mount Berry
756,University of North Alabama,Florence
757,Alabama A&M University,Huntsville
758,University of Central Oklahoma,Edmond
759,Eastern Mennonite University,Harrisonburg ...
760,Palm Beach State College,Lake Worth
761,Shenandoah University,Winchester
762,Concordia College,Moorhead
763,Colorado Mesa University,Grand Junction
764,Herzing University,Madison
765,Manhattan College,Riverdale
766,University of Houston-Clear Lake,Houston ...
767,Lawrence Technological University,Southfield
768,Marian University,Indianapolis
769,Westmont College,Santa Barbara
770,"Wheaton College, Massachusetts",Norton
771,Seminole State College of Florida,Sanford
772,Springfield College,Springfield
773,East Stroudsburg University,East Stroudsburg
774,Queens University of Charlotte,Charlotte
775,Olivet Nazarene University,Bourbonnais
776,Lipscomb University,Nashville
777,Susquehanna University,Selinsgrove
778,Lincoln Memorial University,Harrogate
779,Eckerd College,Saint Petersburg ...
780,University of Dallas,Irving
781,New York Medical College,Valhalla
782,Chamberlain University,Addison ...
783,Bellevue College,Bellevue
784,Mitchell Hamline School of Law,Saint Paul
785,University of Massachusetts Global,Irvine
786,Massachusetts College of Art and Design,Boston
787,Midwestern State University,Wichita Falls
788,Otis College of Art and Design,Los Angeles
789,ECPI University,Virginia Beach
790,Bethune-Cookman University,Daytona Beach
791,Fisk University,Nashville
792,Tougaloo College,Tougaloo ...
793,Taylor University,Upland ...
794,The University of West Alabama,Livingston
795,Park University,Parkville ...
796,Point Loma Nazarene University,San Diego ...
797,Concordia University Wisconsin,Mequon
798,The American College of Financial Services,King of Prussia
799,Lewis University,Romeoville
800,Niagara University,Niagara University
801,California Baptist University,Riverside ...
802,Ursinus College,Collegeville
803,A.T. Still University,Kirksville ...
804,Grove City College,Grove City
805,Brigham Young University-Hawaii,Laie
806,Northwestern State University of Louisiana,Natchitoches
807,Wentworth Institute of Technology,Boston
808,Kentucky State University,Frankfort
809,Hendrix College,Conway
810,Northeastern State University,Tahlequah
811,Southern University and A&M College,Baton Rouge
812,Drury University,Springfield ...
813,The University of Texas Permian Basin,Odessa
814,Eastern New Mexico University,Portales
815,Alabama State University,Montgomery
816,Lindenwood University,St. Charles
817,Lander University,Greenwood
818,University of La Verne,La Verne ...
819,Allegheny College,Meadville
820,York College of Pennsylvania,York
821,University of Lynchburg,Lynchburg
822,Chicago State University,Chicago
823,Mississippi College,Clinton
824,Lycoming College,Williamsport
825,Arkansas Tech University,Russellville
826,Eastern Oregon University,La Grande
827,Florida Southern College,Lakeland
828,Keene State College,Keene
829,Northwest Nazarene University,Nampa
830,Governors State University,University Park
831,Utica University,Utica
832,Southern Adventist University,Collegedale
833,Augustana University,Sioux Falls
834,Montana Tech,Butte
835,Trine University,Angola
836,Oklahoma City University,Oklahoma City
837,Minneapolis College of Art and Design,Minneapolis
838,Muskingum University,New Concord
839,Western New England University,Springfield ...
840,Colorado State University-Pueblo,Pueblo ...
841,Baker College,Owosso ...
842,Salve Regina University,Newport
843,St. Thomas University,Miami Gardens
844,D'Youville College,Buffalo
845,University of North Carolina School of the Arts,Winston-Salem
846,Dominican University,River Forest
847,Flagler College,St. Augustine ...
848,New England Conservatory,Boston
849,United States Coast Guard Academy,New London
850,Marietta College,Marietta
851,Eastern Connecticut State University,Willimantic
852,Marymount University,Arlington
853,Linfield University,McMinnville ...
854,Southwest Minnesota State University,Marshall
855,Clayton State University,Morrow
856,University of Findlay,Findlay
857,Fresno Pacific University,Fresno ...
858,Wilmington University,New Castle ...
859,Meharry Medical College,Nashville
860,Winston-Salem State University,Winston-Salem
861,Columbia College,Columbia
862,Northern State University,Aberdeen
863,Eastern University,St. Davids
864,Franklin W. Olin College of Engineering,Needham
865,Union University,Jackson
866,Moravian University,Bethlehem
867,Saint Mary's College,Notre Dame ...
868,Southeastern University,Lakeland
869,Montana State University Billings,Billings
870,McDaniel College,Westminster ...
871,Southern Nazarene University,Bethany ...
872,Otterbein University,Westerville
873,Saint Mary's University of Minnesota,Winona ...
874,Mayo Clinic College of Medicine and Science,Rochester
875,University of Maryland Eastern Shore,Princess Anne
876,Franciscan University of Steubenville,Steubenville
877,Southeastern Oklahoma State University,Durant
878,St. Joseph's University,Brooklyn ...
879,Alliant International University,San Diego ...
880,Walsh University,North Canton
881,Whittier College,Whittier
882,New College of Florida,Sarasota
883,St John's College,Annapolis ...
884,Northwood University,Midland ...
885,Lynn University,Boca Raton
886,St. Ambrose University,Davenport
887,Concordia University Irvine,Irvine
888,Lake Forest College,Lake Forest
889,King's College,Wilkes-Barre
890,Naropa University,Boulder
891,DeSales University,Center Valley
892,Juniata College,Huntingdon
893,Morehead State University,Morehead ...
894,United States Merchant Marine Academy,Kings Point ...
895,University of St. Thomas,Houston
896,Nazareth University,Rochester
897,Stonehill College,Easton
898,Mount St. Joseph University,Cincinnati
899,Mercyhurst University,Erie
900,Iona University,New Rochelle
901,Chaminade University of Honolulu,Honolulu
902,Guilford College,Greensboro
903,United States Air Force Academy,Colorado Springs
904,Gwynedd Mercy University,Gwynedd Valley
905,Wittenberg University,Springfield
906,Robert Morris University,Moon Township ...
907,PennWest Clarion,Clarion
908,North Carolina Wesleyan University,Rocky Mount ...
909,Aurora University,Aurora ...
910,Vincennes University,Vincennes
